INFO     | 2021-01-14 06:47:11,013 | progress   |       Finished subset 82/528, 15.53 percent done
INFO     | 2021-01-14 06:48:03,801 | progress   |       Finished subset 83/528, 15.72 percent done
INFO     | 2021-01-14 06:48:34,436 | progress   |       Finished subset 84/528, 15.91 percent done
INFO     | 2021-01-14 06:48:45,667 | progress   |       Finished subset 85/528, 16.10 percent done
INFO     | 2021-01-14 06:49:40,945 | progress   |       Finished subset 86/528, 16.29 percent done
INFO     | 2021-01-14 06:50:22,575 | progress   |       Finished subset 87/528, 16.48 percent done
INFO     | 2021-01-14 06:50:35,016 | progress   |       Finished subset 88/528, 16.67 percent done
INFO     | 2021-01-14 06:50:47,872 | progress   |       Finished subset 89/528, 16.86 percent done
INFO     | 2021-01-14 06:51:02,930 | progress   |       Finished subset 90/528, 17.05 percent done
INFO     | 2021-01-14 06:51:49,724 | progress   |       Finished subset 91/528, 17.23 percent done
INFO     | 2021-01-14 06:52:29,043 | progress   |       Finished subset 92/528, 17.42 percent done
INFO     | 2021-01-14 06:53:03,881 | progress   |       Finished subset 93/528, 17.61 percent done
INFO     | 2021-01-14 06:53:20,278 | progress   |       Finished subset 94/528, 17.80 percent done
INFO     | 2021-01-14 06:53:45,508 | progress   |       Finished subset 95/528, 17.99 percent done
INFO     | 2021-01-14 06:54:20,216 | progress   |       Finished subset 96/528, 18.18 percent done
INFO     | 2021-01-14 06:55:18,980 | progress   |       Finished subset 97/528, 18.37 percent done
INFO     | 2021-01-14 06:55:21,580 | progress   |       Finished subset 98/528, 18.56 percent done
INFO     | 2021-01-14 06:56:06,821 | progress   |       Finished subset 99/528, 18.75 percent done
INFO     | 2021-01-14 06:56:25,538 | progress   |       Finished subset 100/528, 18.94 percent done
INFO     | 2021-01-14 06:56:59,947 | progress   |       Finished subset 101/528, 19.13 percent done
INFO     | 2021-01-14 06:57:42,062 | progress   |       Finished subset 102/528, 19.32 percent done
INFO     | 2021-01-14 06:57:48,874 | progress   |       Finished subset 103/528, 19.51 percent done
INFO     | 2021-01-14 06:58:10,094 | progress   |       Finished subset 104/528, 19.70 percent done
INFO     | 2021-01-14 06:58:25,464 | progress   |       Finished subset 105/528, 19.89 percent done
INFO     | 2021-01-14 06:59:08,981 | progress   |       Finished subset 106/528, 20.08 percent done
INFO     | 2021-01-14 06:59:10,037 | progress   |       Finished subset 107/528, 20.27 percent done
INFO     | 2021-01-14 06:59:59,703 | progress   |       Finished subset 108/528, 20.45 percent done
INFO     | 2021-01-14 07:00:27,299 | progress   |       Finished subset 109/528, 20.64 percent done
INFO     | 2021-01-14 07:00:39,236 | progress   |       Finished subset 110/528, 20.83 percent done
INFO     | 2021-01-14 07:00:55,152 | progress   |       Finished subset 111/528, 21.02 percent done
INFO     | 2021-01-14 07:01:09,638 | progress   |       Finished subset 112/528, 21.21 percent done
INFO     | 2021-01-14 07:01:44,544 | progress   |       Finished subset 113/528, 21.40 percent done
INFO     | 2021-01-14 07:01:49,559 | progress   |       Finished subset 114/528, 21.59 percent done
INFO     | 2021-01-14 07:02:31,309 | progress   |       Finished subset 115/528, 21.78 percent done
INFO     | 2021-01-14 07:02:54,212 | progress   |       Finished subset 116/528, 21.97 percent done
INFO     | 2021-01-14 07:03:07,202 | progress   |       Finished subset 117/528, 22.16 percent done
INFO     | 2021-01-14 07:03:27,100 | progress   |       Finished subset 118/528, 22.35 percent done
