Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
30200	-203.5361	-198.9298	-4.606293	2.456207	-0.5100425	0.3089993
30300	-202.0746	-200.0821	-1.992502	1.204945	-0.477413	0.3331095
30400	-202.5268	-199.5563	-2.970459	1.684998	-0.6262617	0.2364494
30500	-202.0137	-199.4037	-2.609924	1.514198	-0.5127181	0.3071015
30600	-202.0966	-199.9467	-2.149973	1.287432	-0.4592385	0.3473454
30700	-203.9468	-198.9884	-4.958375	2.62728	-0.6277679	0.2356308
30800	-204.6138	-203.2006	-1.413196	0.5857512	-0.5679868	0.2704041
30900	-204.0713	-200.8652	-3.206149	1.795395	-0.3279045	0.4699975
31000	-203.0136	-199.5616	-3.452087	1.910285	-0.6572835	0.2201489
31100	-202.6038	-199.2679	-3.335881	1.856007	-0.4599969	0.3467393
31200	-202.8429	-199.6287	-3.214175	1.799146	-0.4184483	0.3815502
31300	-205.1211	-199.4121	-5.70895	3.001933	-0.4732252	0.3363371
31400	-203.1858	-200.3953	-2.790558	1.600194	-0.6963138	0.201227
31500	-202.1995	-200.4004	-1.79908	1.096844	-0.4773193	0.3331814
31600	-202.6091	-200.0262	-2.582924	1.501243	-0.3997387	0.3983468
31700	-203.3561	-201.7861	-1.569953	0.9487476	-0.3545363	0.4420421
31800	-202.9464	-199.434	-3.512368	1.938453	-0.6460585	0.2259131
31900	-202.1144	-199.2609	-2.853539	1.629959	-0.505761	0.3120607
32000	-203.4293	-201.5979	-1.831389	1.115618	-0.3259911	0.4720727
32100	-202.4641	-199.4187	-3.045409	1.720167	-0.4489643	0.3556606
32200	-202.3983	-200.0353	-2.363016	1.39436	-0.4139171	0.385552
32300	-202.1409	-199.3134	-2.827533	1.61768	-0.4893112	0.3241073
32400	-202.2165	-199.1614	-3.055098	1.724708	-0.5072188	0.3110149
32500	-202.7358	-198.9141	-3.821653	2.083306	-0.5649377	0.2723092
32600	-202.2154	-199.3291	-2.886275	1.645395	-0.5783041	0.2640559
32700	-203.0157	-198.9301	-4.085662	2.207712	-0.5918663	0.2559374
32800	-203.6897	-201.1598	-2.529933	1.475724	-0.3172819	0.4816351
32900	-202.2739	-199.0882	-3.185693	1.785831	-0.5210716	0.3012509
33000	-202.9339	-199.0752	-3.858646	2.100687	-0.6123502	0.2441461
33100	-203.695	-199.7081	-3.986968	2.161102	-0.6913988	0.2035172
33200	-203.1874	-201.4506	-1.736894	1.059611	-0.6775449	0.210114
33300	-203.5744	-201.4207	-2.153637	1.28931	-0.7265023	0.1877144
33400	-202.9076	-200.3878	-2.519801	1.47083	-0.6766822	0.2105318
33500	-203.1518	-198.853	-4.298833	2.308885	-0.5337491	0.2925842
33600	-203.0071	-199.8396	-3.167552	1.777349	-0.3992367	0.3988075
33700	-203.2332	-199.3134	-3.919823	2.129465	-0.4467933	0.3574429
33800	-202.7743	-200.8204	-1.953923	1.184101	-0.3742695	0.4224064
33900	-202.7423	-198.9602	-3.782081	2.064729	-0.5083828	0.3101824
34000	-206.6447	-204.3028	-2.341883	1.383931	-0.8958959	0.1270879
34100	-204.8767	-201.6153	-3.26145	1.821238	-0.2888666	0.5142015
34200	-203.7276	-202.271	-1.456601	0.8541811	-0.3504005	0.4462719
34300	-202.4009	-199.024	-3.376847	1.87514	-0.5536156	0.2795017
34400	-203.2446	-201.8106	-1.433982	0.8307721	-0.4162121	0.3835199
34500	-202.0528	-199.5452	-2.507593	1.464926	-0.4793572	0.3316216
34600	-203.085	-200.1925	-2.892518	1.648336	-0.3747932	0.4218974
34700	-203.3136	-201.0161	-2.297421	1.361875	-0.7091601	0.1953619
34800	-203.3752	-200.4298	-2.945382	1.673214	-0.3565691	0.4399779
34900	-203.5193	-201.4575	-2.061737	1.241674	-0.3170018	0.4819458
35000	-202.2823	-200.0978	-2.18446	1.305047	-0.6052337	0.2481797
35100	-202.4254	-199.5087	-2.91664	1.659694	-0.6148922	0.2427212
35200	-202.1624	-199.8751	-2.287333	1.356848	-0.4457838	0.3582747
35300	-202.1879	-200.0132	-2.174725	1.300088	-0.4407784	0.3624279
35400	-202.0703	-199.2819	-2.788409	1.599177	-0.5286322	0.2960518
35500	-202.8815	-201.4013	-1.480179	0.8763365	-0.5714242	0.2682722
